Type,Description,Sub category,sub-sub-category
reduced bone mineral metabolism,reduced bone mineral metabolism,,
reflux,% of cases gastroesophageal reflux disease,,
reflux,careful exclusion of reflux,,
reflux,distal and proximal reflux of gastric contents,,
reflux,individual episodes of reflux,,
reflux,reflux,,
reflux,reflux,,
reflux,reflux,,
reflux,reflux,,
reflux,reflux,,
reflux,reflux,,
reflux,reflux,,
reflux,Reflux episodes,,
reflux,some reflux episodes,,
reflux,the reflux,,
regurgitation,regurgitation,,
regurgitation,regurgitation,,
related disorders,related disorders,,
related disorders,related disorders,,
reperfusion,reperfusion,,
Representative measurements,Representative measurements,,
resection,resection,,
resection of posterior wall mucosa,resection of posterior wall mucosa,,
resolution of coronavirus 2019 disease,resolution of coronavirus 2019 disease,,
respiratory,respiratory causes,,
respiratory,respiratory causes,,
respiratory,respiratory diseases,,
respiratory,respiratory infection,,
revascularization,coronary revascularization,,
revascularization,revascularization,,
revascularization,transmyocardial revascularization,,
ventricular,Left bundle branch block,,
rib,avulsion of the eighth rib,,
rib,tubercular osteomyelitis of the rib,,
rib cage compression,rib cage compression,,
rib cage compression,rib cage compression,,
rib fracture,atraumatic rib fractures,,
rib fracture,rib fracture,,
rib fracture,Rib fractures,,
rib fracture,rib fractures,,
rib fracture,stress fractures of the rib,,
ribs problem,Fibrous dysplasia of the rib,Fibrous dysplasia of the rib,
ribs problem,a supernumerary intrathoracic rib,,
right axillary artery branch perforation,right axillary artery branch perforation,,
right axillary artery branch perforation,right axillary artery branch perforation,,
rural endemic areas,rural endemic areas,,
RVEF<40 %,RVEF<40 %,,
sarcoidosis,sarcoidosis,,
schwannoma,a prolonged course schwannoma,,
Schwannoma,Schwannoma of the Intercostal Nerve,,
Scimitar syndrome,Scimitar syndrome,,
SCL-90R Global Symptom Score,SCL-90R Global Symptom Score,,
sclerosant instillation,sclerosant instillation,,
sclerotherapy,sclerotherapy,,
Segmental aperistalsis,segmental aperistalsis,aperistalsis,
Segmental aperistalsis,"Segmental aperistalsis "" of the esophagus",esophagus,aperistalsis
sensitivity,central and peripheral hypersensitivity,hypersensitivity,
sensitivity,acid sensitivity,,
septic pulmonary emboli,septic pulmonary emboli,,
septic pulmonary emboli,septic pulmonary emboli,,
several months of medicament treatment,several months of medicament treatment,,
sFas,sFas,,
shift from organic,shift from organic,,
shock,high shock index,,
shock wave lithotripsy,SWL,,
shortness of breath,shortness of breath,,
shortness of breath,shortness of breath,,
shortness of breath,shortness of breath,,
shortness of breath,shortness of breath,,
shortness of breath,shortness of breath,,
short-term use of nonnarcotic analgesics,short-term use of nonnarcotic analgesics,,
shunt formation,shunt formation,,
sildenafil intake,sildenafil intake,,
silicone breast implants,silicone breast implants,,
skeletonization,skeletonization,,
sleep,sleep,,
Slipping rib syndrome,Slipping rib syndrome,,
Slipping rib syndrome,Slipping rib syndrome,,
smoking,smoking,,
smoking,smoking,,
smoking,Smoking,,
smoking,smoking SCs,,
social and work dysfunction,social and work dysfunction,,
Sodium tetradecyl sulphate,Sodium tetradecyl sulphate,,
Somatization,Somatization,,
Somatoform and panic disorders,Somatoform and panic disorders,,
spine,disorders of the cervical spine,,
spine,Spinal dural AV fistula,,
spine,Spontaneous spinal epidural hematoma,,
spine,the Spinal Cord,,
spine,the spine,,
Spontaneous pneumomediastinum,SPM,,
Spontaneous pneumomediastinum,Spontaneous pneumomediastinum,,
Spontaneous pneumomediastinum,Spontaneous pneumomediastinum,,
Spontaneous pneumomediastinum,Spontaneous pneumomediastinum,,
Spontaneous pneumomediastinum,Spontaneous Pneumomediastinum,,
Spontaneous pneumomediastinum,Spontaneous pneumomediastinum,,
Spontaneous pneumomediastinum,Spontaneous Pneumomediastinum,,
Spontaneous pneumomediastinum,spontaneous pneumomediastinum,,
Spontaneous pneumomediastinum,Spontaneous pneumomediastinum,,
Spontaneous pneumomediastinum,Spontaneous pneumomediastinum,,
Spontaneous pneumomediastinum,Spontaneous pneumomediastinum,,
Spontaneous pneumomediastinum,spontaneous pneumomediastinum,,
Spontaneous pneumomediastinum,Spontaneous pneumomediastinum,,
spontaneous pneumothorax,SBSP,spontaneous pneumothorax,
spontaneous pneumothorax,a spontaneous pneumothorax,,
spontaneous pneumothorax,spontaneous pneumothorax,,
spontaneous pneumothorax,spontaneous pneumothorax,,
spontaneous pneumothorax,recurrent SP,,
ST elevation,ST elevation,,
ST elevation,ST elevation,,
ST elevation,ST elevation,,
ST elevation,ST elevation,,
ST elevation,ST elevation changes,,
ST elevation,ST elevations,,
ST segment elevation,ST segment elevation,,
ST segment elevation,ST segment elevation,,
ST segment elevation,ST segment elevation,,
Staphylococcus aureus sternal osteomyelitis,Staphylococcus aureus sternal osteomyelitis,,
ST-elevation-myocardial infarction,"anterior , anteroseptal , and inferior ST segment elevation myocardial infarction",,
ST-elevation-myocardial infarction,ST-elevation-myocardial infarction,,
ST-elevation-myocardial infarction,STEMI,,
stent,covered stents,,
stent implantation,stent implantation,,
stent implantation,stent implantation,,
stent implantation,stent implantation,,
stent implantation,stent insertion,,
stent placement,stent placement,,
stent placement,stent placement,,
stenting,stenting,,
stenting,stenting,,
Sternal,a chronic sternal fracture,,
Sternal,Sternal Stress Fractures,,
Sternal,sternal wire sutures,,
Sternal,Sternal wrapping,,
sternal dehiscence,a complicated sternal dehiscence,,
sternal dehiscence,a dehiscence of the sternal wires,,
Sternoclavicular joint infection,Sternoclavicular joint infection,sternoclavicular,
Sternoclavicular joint infection,Sternoclavicular joint infection,sternoclavicular,
Sternoclavicular joint infection,SJI,sternoclavicular,
sternotomy,standard sternotomy,,
sternotomy,sternotomy,,
sternotomy,sternotomy wire suture,,
Sternum insufficiency fracture,Sternum insufficiency fracture,,
Sternum insufficiency fracture,Sternum insufficiency fracture,,
sterss,enhanced tension,,
stimulation,different stimuli,,
stimulation,high output pacing of long stimulus duration,,
stimulation,the stimulation tests,,
stimulation,vagal nerve stimulation,,
STRATOS,STRATOS,,
strenuous exercise,strenuous exercise,,
strenuous exercise,strenuous exercise,,
stress,a case of recurrent stress-induced ( Takotsubo ) cardiomyopathy,,
stress,a severe stress condition,,
strut migration,strut migration,,
strut penetration of the caval wall,strut penetration of the caval wall,,
ST-segment,continuous 12-lead ST-segment monitoring,,
ST-segment,ST segment changes,,
ST-segment,ST segment changes,,
ST-segment,ST-segment myocardial infarction,,
ST-segment,the onset of ST segment change,,
ST-segment depression,reciprocal ST-segment depression,,
ST-segment depression,ST-segment depression,,
ST-segment depression,ST-segment depression,,
ST-segment depression,ST-segment depressions,,
ST-segment elevation,% resolution of ST-segment elevation,,
ST-segment elevation,a more than 2 mm elevation of the ST segment,,
ST-segment elevation,frequent episodes of ST-segment elevation,,
ST-segment elevation,ST-segment elevation,,
ST-segment elevation,ST-segment elevation,,
ST-segment elevation,ST-segment elevation,,
ST-segment elevation,ST-segment elevation,,
ST-segment elevation,ST-segment elevation,,
ST-segment elevation,ST-segment elevation,,
ST-segment elevation,ST-segment elevation,,
ST-segment elevation,ST-segment elevation,,
ST-segment elevation,ST-segment elevation,,
subcutaneous emphysema,subcutaneous chest emphysema,,
subcutaneous emphysema,subcutaneous emphysema,,
successful percutaneous transluminal coronary angioplasty,successful percutaneous transluminal coronary angioplasty,,
successful percutaneous transluminal coronary angioplasty,successful PTCA,,
sumatriptan,sumatriptan,,
sumatriptan,sumatriptan,,
sumatriptan administration,administration of sumatriptan,,
sumatriptan administration,intake of sumatriptan,,
sumatriptan administration,sumatriptan administration,,
sumatriptan administration,use of sumatriptan,,
Supplement,Supplement Use,,
surgery,dental surgery,,
surgery,surgery,,
surgery,surgery,,
surgery,surgery,,
surgery,surgery,,
surgery,surgery,,
surgery,surgery,,
surgery,surgery,,
surgery,surgery,,
surgery,surgery,,
surgery,the surgery,,
surgery,the surgery,,
suspected myocardial infarction,suspected acute myocardial infarction,suspected acute myocardial infarction,
suspected myocardial infarction,suspected acute myocardial infarction,suspected acute myocardial infarction,
suspected myocardial infarction,suspected acute myocardial infarction,suspected acute myocardial infarction,
suspected myocardial infarction,suspected acute myocardial infarction,suspected acute myocardial infarction,
suspected myocardial infarction,suspected or definite acute myocardial infarction,suspected acute myocardial infarction,
suspected myocardial infarction,suspected or definite acute myocardial infarction,suspected acute myocardial infarction,
suspected myocardial infarction,suspected but not proven myocardial infarction,,
suspected myocardial infarction,suspected but not proven myocardial infarction,,
suspected myocardial infarction,suspected MI,,
suspected myocardial infarction,suspected myocardial infarction,,
suspected myocardial infarction,suspected myocardial infarction,,
suspected myocardial infarction,suspected myocardial infarction,,
sweating,sweating,,
sweating,sweating,,
sweating,sweating,,
Symptoms,Symptoms,,
Symptoms,symptoms,,
syncope,recurrent syncope,,
syncope,syncope,,
syncope,syncope,,
syndrome,A CARE-compliant case report of Chilaiditi syndrome,,
syndrome,a general syndrome,,
syndrome,an associated billowing mitral leaflet syndrome,,
syndrome,Wolf Parkinson White syndrome,,
systemic diseases,systemic diseases,,
systemic diseases,systemic diseases,,
systemic diseases,systemic diseases,,
systemic diseases,systemic disorders,,
T wave,giant T waves,T wave,
T wave inversion,T wave inversion,T wave,
T wave inversion,T-wave inversions,T wave,
T3 paraplegia,T3 paraplegia,,
Takotsubo Cardiomyopathy,Reverse Takotsubo Cardiomyopathy,,
Takotsubo Cardiomyopathy,Takotsubo cardiomyopathy,,
Takotsubo syndrome,an acute midventricular takotsubo syndrome,,
Takotsubo syndrome,Takotsubo syndrome,,
Takotsubo syndrome,Tako-Tsubo Syndrome,,
Takotsubo syndrome,TTS,,
Takotsubo syndrome,TTS,,
Tarui 's disease,Tarui 's disease,,
tenosynovitis,tenosynovitis,,
the ' NA,the ' NA,,
the ' SI,the ' SI,,
sumatriptan,The 5-HT1 agonist sumatriptan,,
the BWS bite,the BWS bite,,
The capsule of the wireless pH monitoring,The capsule of the wireless pH monitoring,,
the cardiology outpatient clinic,the cardiology outpatient clinic,,
The compressions,The compressions,,
the ED of a large urban teaching hospital,the ED of a large urban teaching hospital,,
the first manifestation of Behçet 's syndrome,the first manifestation of Behçet 's syndrome,,
the greater omentum,the greater omentum,,
hyperventilation,the hyperventilation syndrome,,
the importance of acute aortic syndromes,the importance of acute aortic syndromes,,
the initiation of topiramate,the initiation of topiramate,,
the insertion of an intra-aortic balloon pump,the insertion of an intra-aortic balloon pump,,
the intrapleural administration of tetracycline,the intrapleural administration of tetracycline,,
the multiple organ systems,the multiple organ systems,,
the multiple organ systems,the multiple organ systems,,
the NIH-NHLBI-sponsored Women 's Ischaemia Syndrome Evaluation ( WISE ) study,the NIH-NHLBI-sponsored Women 's Ischaemia Syndrome Evaluation ( WISE ) study,,
the oppression of the recurrent laryngeal nerve,the oppression of the recurrent laryngeal nerve,,
the physical event of mitral leaflet prolapse,the physical event of mitral leaflet prolapse,,
the potentially lethal causes,the potentially lethal causes,,
The presence of CCL,The presence of CCL,,
the QLQ-C30,the QLQ-C30,,
The reconstructive tube,The reconstructive tube,,
the reduction of capillary red cell recruitment,the reduction of capillary red cell recruitment,,
the release of inguinal compression,the release of inguinal compression,,
The SARS-CoV-2 infection,The SARS-CoV-2 infection,,
ST elevation,the ST elevation,,
the TAE,the TAE,,
the thoracic instability,the thoracic instability,,
the TweeSteden Mild Stenosis study,the TweeSteden Mild Stenosis study,,
the use of bupropion,the use of bupropion,,
therapy,therapy,,
therapy,therapy,,
These ECHO anomalies,These ECHO anomalies,,
third or fourth HDMTX treatment,third or fourth HDMTX treatment,,
This anatomical abnormality,This anatomical abnormality,,
This iatrogenic complication,This iatrogenic complication,,
This reduced blood flow,This reduced blood flow,,
thoracic,other abnormalities of thoracic viscera,,
thoracic,"the nontraumatic thoracic , gastrointestinal , and psychogenic disturbances",,
thoracic,the use of the Strasbourg Thoracic Osteosyntheses System,,
thoracic,tortuosity of the thoracic aorta,,
thoracic,thoracotomy,,
thoracic,thoracic outlet syndrome,,
thoracic spine,disease of the thoracic spine,,
thoracic spine,the cervicothoracic spine,,
thoracic trauma,thoracic fracture,,
thoracic trauma,thoracic trauma,,
thrombolysis,acute stent thrombosis,,
thrombolysis,initiation of thrombolysis,,
thrombolysis,thrombosis formation,,
thrombolytic therapy,thrombolytic therapy,,
Thrombophlebitis,Thrombophlebitis,,
Thymoma,Thymoma,,
Thymoma,Thymoma,,
Tietze 's syndrome,Tietze 's syndrome,,
Tietze 's syndrome,Tietze 's syndrome,,
Tietze 's syndrome,Tietze 's syndrome,,
Tietze 's syndrome,Tietze syndrome,,
tissue hyperplasia,tissue hyperplasia,,
Tooth Extraction,the tooth extraction,,
Tooth Extraction,tooth extraction,,
Tooth Extraction,Tooth Extraction,,
TOS,TOS,,
total parenteral nutrition infusion,total parenteral nutrition infusion,,
tracheostomy tube malposition,tracheostomy tube malposition,,
tracheostomy tube malposition,tracheostomy tube malposition,,
traffic accident,a recent traffic accident,,
traffic accident,a traffic accident,,
transesophageal,transesophageal atrial pacing,,
transesophageal,transesophageal echocardiography,,
Transforaminal ligaments,Transforaminal ligaments,,
transient episodes of ejection fraction decrease,transient episodes of ejection fraction decrease,,
transient repolarization changes,transient repolarization changes,,
transient repolarization changes,transient repolarization changes,,
transient second degree A-V block,transient second degree A-V block,,
transient ST-segment elevation,transient marked ST-segment elevation,,
transient ST-segment elevation,transient ST-segment elevation,,
transient ST-segment elevation,transient ST-segment elevation,,
transient ST-segment elevation,transitory ST segment elevation,,
trauma,blunt trauma,blunt trauma,
trauma,a thoracic trauma,,
trauma,a traumatic event,,
trauma,direct trauma,,
trauma,head trauma,,
trauma,injuries,,
trauma,injuries,,
trauma,This injury,,
trauma,trauma,,
trauma,trauma,,
trauma,trauma,,
trauma,trauma,,
trauma,trauma,,
trauma,trauma,,
trauma,war injuries,,
treatment,former treatment,,
treatment,medical treatment,,
treatment,The application of antidepressive treatment,,
treatment,this treatment,,
Triptan ingestion,thirty six hour administration of tirofiban,,
Triptan ingestion,Triptan ingestion,,
troponin,normal troponin,,
troponin,troponin,,
troponin,troponin elevation,,
tubulo-interstitial nephritis,tubulo-interstitial nephritis,,
Tumefactive fibroinflammatory lesion,Tumefactive fibroinflammatory lesion,,
tumor,a posterior mediastinal glomus tumor,mediastinal,
tumor,compression of the tumor,,
tumor,metastatic bone tumor,,
tumor,removal of the tumor,,
tumor,The tumor,,
tumor,the tumors,,
tumor,The tumour,,
tumor,tumor of the lung,,
tumor,a moderately growing tumour,,
tumor,Local tumour growth,,
two pathogenetic mechanisms,two pathogenetic mechanisms,,
Type D personality,Type D -- distressed -- personality,,
Type D personality,Type D personality,,
Type D personality,Type D personality,,
Type D personality,Type D personality,,
UA,UA,,
Ulcers,Ulcers,,
unintentional injection of less than half of a 12cc syringe,unintentional injection of less than half of a 12cc syringe,,
Uni-VATS,Uni-VATS,,
vaginal delivery,vaginal delivery,,
vaginal delivery,vaginal delivery,,
vaginal delivery,vaginal delivery,,
valvular,Intermittent valvular sticking,,
valvular,valvular diseases,,
vasospasm,suspected vasospasm,,
vasospasm,vasospasm,,
vasospasm,vasospasm,,
graft surgery,vein graft surgery,,
ventricular,ventricular arrhythmia,,
ventricular,ventricular tachycardia,,
Vessel dissection,Vessel dissection,,
VI,VI,,
Virus,Virus,,
visceral,visceral hypersensitivity,visceral hypersensitivity,
visceral,visceral nerve hypersensitivity,visceral hypersensitivity,
visceral,altered visceral perception,,
vitamin D deficiency,vitamin d deficiency,,
vitamin D deficiency,vitamin D deficiency,,
VNS,VNS,,
vomiting,an episode of forceful vomiting,forceful vomiting,
vomiting,forceful vomiting,forceful vomiting,
vomiting,nonproductive vomiting,,
vomiting,self-induced vomiting,,
vomiting,violent vomiting,,
vomiting,vomiting,,
vomiting,vomiting,,
vomiting,vomiting,,
vomiting,vomiting,,
vomiting,vomiting,,
vomiting,vomiting,,
vomiting,vomiting,,
vomitus,scarlet vomitus,,
WBC day,WBC day,,
wheeze,wheeze,,
worms,worms,,
WPWS,WPWS,,
Xiphoidynia,Xiphoidynia,,
